Sr. No,Course Number,Course Name,L-T-P-C,Faculty Name,Courses Slot,Lab Courses Slot
245,ME-698P,Post Graduate Project-1,14,Faculty Advisor,NS,
246,ME-699P,Post Graduate Project-2,18,Faculty Advisor,NS,
247,DP-512P,Industrial/Research Internship,1,Faculty Advisor,NS,
248,CE-587P,Industrial/Research Internship,1,Faculty Advisor,NS,
249,MA-581P,Post Graduate Project 1,10,Faculty Advisor,NS,
250,MA-582P,Post Graduate Project-2,14,Faculty Advisor,NS,
251,PH-518P,Post Graduate Project -1,3,Faculty Advisor,NS,
252,PH-519P,Post Graduate Project - 2,8,Faculty Advisor,NS,
253,CY-598P,Post Graduate Project- 1,4,Faculty Advisor,NS,
254,CY-599P,Post Graduate Project - 2,9,Faculty Advisor,NS,
255,HS-554P,Post Graduate Project,23,Faculty Advisor,NS,
